Customer ID;Transaction Amount;Date
59895;711.89;2023.05.10
639867;311.92;2023.02.05
367752;803.76;2023.03.02
645330;50.23;2023.07.01
503926;930.34;2023.03.07
664468;1688.38;2023.06.05
672808;285.98;2023.05.09
552994;140.13;2023.02.26
282989;332.52;2023.09.27
584831;1094.06;2023.01.12
405970;55.48;2023.06.19
855534;1784.28;2023.06.18
411991;493.81;2023.07.14
948021;175.04;2023.08.14
544605;177.74;2023.04.12
519214;93.27;2023.07.12
94568;855.36;2023.05.28
175803;114.8;2023.06.06
485783;216.09;2023.08.05
735533;428.61;2023.01.04
112710;87.37;2023.03.13
437885;170.29;2023.10.07
408054;244.23;2023.03.18
375453;92.6;2023.08.31
397729;218.71;2023.02.08
965209;85.53;2023.09.14
555864;276.51;2023.03.09
525726;76.37;2023.08.28
34565;31.05;2023.06.11
402489;735.88;2023.02.10
578151;208.86;2023.05.26
132375;101.76;2023.09.27
322017;643.84;2023.10.11
780567;116.38;2023.08.28
467203;136.57;2023.09.22
486633;199.1;2023.08.25
361587;172.54;2023.04.26
801423;414.2;2023.05.04
551054;52.21;2023.05.28
81000;119.04;2023.10.11
422981;189.72;2023.06.13
630269;422.67;2023.01.23
410506;17.03;2023.04.01
975380;69.44;2023.03.06
928833;115.85;2023.02.22
221424;811.41;2023.08.27
558832;163.27;2023.01.27
432882;149.99;2023.07.21
604673;82.92;2023.01.10
729265;176.99;2023.08.22
361892;286.36;2023.04.19
858489;32.96;2023.05.11
35284;287.67;2023.07.22
723891;75.75;2023.05.24
669929;42.97;2023.09.13
341880;63.28;2023.05.24
283856;796.26;2023.09.12
913296;2202.33;2023.07.11
258993;377.1;2023.07.05
592981;191.47;2023.06.17
472532;55.0;2023.05.20
764741;2376.55;2023.06.04
511236;19.75;2023.08.05
546921;154.55;2023.05.05
176556;802.85;2023.02.17
907669;200.71;2023.06.16
296651;859.22;2023.06.24
57228;931.48;2023.05.03
998183;125.19;2023.08.01
979926;56.81;2023.01.26
741762;175.56;2023.01.20
301646;597.92;2023.06.03
924803;214.0;2023.05.14
614656;92.43;2023.07.04
112977;772.85;2023.02.17
34552;205.44;2023.01.19
561456;116.29;2023.06.27
977466;213.44;2023.02.18
151383;1578.68;2023.09.22
526633;630.36;2023.07.29
811255;548.04;2023.04.28
997044;1341.44;2023.09.13
590961;282.19;2023.01.10
766568;84.63;2023.10.11
505823;31.22;2023.08.02
856812;135.25;2023.04.30
863345;602.22;2023.07.04
373587;645.36;2023.03.10
652103;132.95;2023.08.23
848763;163.08;2023.01.13
593635;46.92;2023.01.01
216051;68.67;2023.07.19
554001;1823.71;2023.03.24
325241;150.42;2023.07.28
875477;102.77;2023.08.10
218255;2912.32;2023.01.06
239992;2840.77;2023.03.06
547726;399.59;2023.03.10
14386;91.84;2023.01.06
811363;69.33;2023.05.05
133598;255.46;2023.07.04
616762;416.22;2023.02.03
794261;12.61;2023.07.15
343875;19.54;2023.04.29
506663;56.61;2023.09.13
313289;729.7;2023.06.27
314053;861.39;2023.05.03
682354;155.97;2023.10.11
622868;978.68;2023.08.21
762591;124.81;2023.05.04
417462;1334.77;2023.10.14
368174;30.88;2023.02.27
398649;247.79;2023.09.18
737157;59.63;2023.07.22
904432;288.37;2023.03.19
903378;461.3;2023.06.10
433526;136.29;2023.04.14
144560;2875.41;2023.02.10
386647;81.38;2023.01.20
623449;30.31;2023.09.19
383870;165.45;2023.03.08
275481;170.78;2023.02.28
962304;283.77;2023.07.01
483334;1964.78;2023.04.06
551823;1647.45;2023.09.13
873403;651.69;2023.05.06
984568;55.64;2023.10.07
337362;633.07;2023.01.05
544731;527.37;2023.05.14
337908;146.16;2023.09.09
894914;29.44;2023.04.20
399627;2707.98;2023.07.07
556186;303.62;2023.06.08
666221;236.38;2023.02.26
474440;118.57;2023.04.13
82014;58.28;2023.01.16
209845;556.79;2023.07.05
843977;446.68;2023.03.27
55927;147.86;2023.02.22
419071;168.13;2023.02.08
240295;220.42;2023.09.17
29936;84.9;2023.03.10
420248;35.0;2023.04.13
929086;390.48;2023.09.10
356281;977.8;2023.01.18
957764;52.66;2023.03.12
809877;52.76;2023.06.04
785137;157.77;2023.05.28
803174;183.49;2023.06.09
389369;39.64;2023.03.04
54394;71.87;2023.03.30
814565;151.99;2023.06.20
298662;94.29;2023.01.20
364974;2128.69;2023.07.19
973696;75.62;2023.07.15
978221;14.12;2023.10.12
13348;755.1;2023.08.24
896139;1946.7;2023.02.05
969470;156.15;2023.09.17
205030;12.92;2023.03.03
380634;994.35;2023.04.12
251519;1519.68;2023.09.25
545777;10.58;2023.05.17
262402;360.44;2023.05.10
993772;1131.32;2023.02.04
171987;97.02;2023.10.11
704737;769.29;2023.08.04
246787;2718.59;2023.02.01
751589;54.09;2023.08.22
254468;130.44;2023.03.31
651224;219.69;2023.07.06
203751;66.74;2023.05.14
409985;248.63;2023.06.22
885772;48.44;2023.09.21
543959;815.78;2023.02.23
514487;46.41;2023.09.11
52472;867.13;2023.08.01
465977;329.03;2023.09.12
164096;141.17;2023.01.04
183191;84.94;2023.03.12
684121;173.89;2023.06.02
121462;48.03;2023.02.22
826120;187.15;2023.01.16
646303;210.78;2023.06.03
227165;351.96;2023.05.08
51354;78.51;2023.08.05
898527;764.27;2023.01.06
542147;65.21;2023.08.02
618515;64.77;2023.06.06
983833;68.21;2023.02.02
198820;1075.95;2023.06.25
818698;1058.86;2023.08.19
395232;164.52;2023.02.16
916753;144.48;2023.08.26
519662;22.17;2023.07.18
483360;84.16;2023.04.25
595132;239.91;2023.08.20
857149;27.28;2023.03.01
836654;592.94;2023.02.08
940167;138.27;2023.04.17
551717;294.39;2023.04.02
161459;95.91;2023.05.25
269635;853.12;2023.02.11
436820;408.0;2023.08.15
34209;60.4;2023.01.28
544854;137.76;2023.07.03
762950;70.38;2023.01.02
349965;861.92;2023.05.17
234563;128.39;2023.07.26
766644;208.45;2023.03.28
386079;264.84;2023.09.10
622864;116.63;2023.04.07
196907;195.52;2023.07.12
197368;70.25;2023.04.13
829341;960.39;2023.05.16
717342;1570.67;2023.07.04
247412;285.06;2023.08.08
146124;678.39;2023.03.03
227892;142.88;2023.03.17
669121;108.19;2023.09.25
892582;44.38;2023.09.28
474761;2655.29;2023.02.27
771156;135.51;2023.06.18
455336;397.13;2023.01.31
343642;100.61;2023.01.15
869401;25.31;2023.03.14
339117;63.49;2023.08.03
349959;27.67;2023.05.11
116037;15.15;2023.08.22
56082;344.24;2023.06.10
272175;813.81;2023.03.04
614332;322.37;2023.09.04
117226;135.55;2023.07.13
390831;25.82;2023.03.09
924028;197.61;2023.05.09
761388;120.33;2023.08.25
738821;2282.64;2023.01.08
289678;90.53;2023.10.03
2569;413.45;2023.05.04
57036;257.64;2023.05.17
944187;87.17;2023.08.12
957619;216.66;2023.04.21
990673;833.73;2023.08.06
894316;240.6;2023.08.07
801461;1616.56;2023.09.29
679943;304.51;2023.02.06
161339;589.24;2023.05.14
761496;60.81;2023.07.21
576106;123.99;2023.08.07
496589;626.23;2023.07.02
640647;165.84;2023.09.28
981689;2735.5;2023.01.22
331113;37.42;2023.09.04
533064;81.16;2023.05.30
260643;2241.23;2023.06.12
364792;83.15;2023.04.13
496130;37.98;2023.07.09
691725;60.13;2023.03.16
382393;267.08;2023.10.12
200691;67.12;2023.04.27
582319;1528.49;2023.01.25
681677;90.38;2023.05.31
652595;23.53;2023.07.23
519367;78.8;2023.03.05
969550;116.81;2023.01.05
59276;51.11;2023.07.26
550536;2232.2;2023.02.22
426551;117.42;2023.06.16
234841;64.51;2023.02.01
708393;310.46;2023.09.08
153661;11.07;2023.06.13
213397;119.71;2023.02.07
230673;1501.17;2023.02.05
579581;11.72;2023.09.26
458474;17.21;2023.03.11
977193;120.21;2023.02.19
926652;234.67;2023.09.05
417252;2514.02;2023.05.09
329909;299.45;2023.10.09
301559;251.92;2023.07.23
138084;2437.67;2023.07.16
282972;55.94;2023.01.04
540337;1928.83;2023.02.22
173710;65.73;2023.04.07
212453;27.52;2023.08.22
701017;1701.15;2023.07.11
259428;495.95;2023.08.29
920423;297.16;2023.07.12
390736;11.23;2023.08.14
27774;159.86;2023.08.06
978066;942.95;2023.08.30
918283;1291.9;2023.01.17
777764;70.31;2023.06.18
573549;176.65;2023.09.27
686096;195.47;2023.07.14
249040;251.86;2023.08.09
714708;57.46;2023.07.22
441584;96.72;2023.06.04
683262;282.94;2023.03.12
544370;601.38;2023.09.18
316308;305.91;2023.09.03
593625;35.31;2023.06.03
91453;194.2;2023.06.22
993622;657.7;2023.08.06
580384;747.27;2023.02.28
735946;59.53;2023.01.05
926181;85.59;2023.05.19
766993;53.9;2023.03.24
481922;147.64;2023.03.14
680051;86.98;2023.09.06
758415;1969.58;2023.07.15
856820;215.78;2023.02.12
66858;156.71;2023.08.11
262908;1979.35;2023.09.29
29306;2105.93;2023.06.25
490071;226.88;2023.03.08
43037;1206.32;2023.08.17
26348;1996.31;2023.01.28
269466;295.76;2023.03.29
704043;57.71;2023.03.01
263953;51.34;2023.02.26
343956;1419.18;2023.01.29
188934;32.29;2023.06.04
578442;2566.53;2023.02.28
932810;419.28;2023.04.22
234515;2612.8;2023.01.05
932834;52.06;2023.07.06
604095;208.25;2023.03.01
804893;378.31;2023.10.05
530519;1608.52;2023.09.10
35515;219.69;2023.08.20
155077;258.51;2023.07.13
31930;28.35;2023.04.10
232827;297.67;2023.02.14
775810;70.28;2023.08.16
730735;150.14;2023.02.15
211189;15.52;2023.05.17
153742;58.35;2023.06.26
805840;992.82;2023.01.19
705511;2810.44;2023.02.24
802555;159.65;2023.02.17
521078;66.66;2023.07.19
929713;142.37;2023.02.02
62447;36.35;2023.02.18
640483;51.65;2023.02.07
747367;185.79;2023.04.10
587716;211.32;2023.06.22
326183;516.96;2023.01.10
589232;123.34;2023.01.06
399803;415.4;2023.09.11
685223;71.5;2023.02.21
420123;62.08;2023.09.24
582128;224.9;2023.01.17
209275;188.08;2023.03.01
293957;97.68;2023.01.20
559312;2093.75;2023.01.01
525236;1189.84;2023.07.05
333565;55.3;2023.06.06
738460;210.03;2023.06.06
808449;77.04;2023.03.12
597427;72.46;2023.05.08
914669;64.15;2023.07.22
720502;193.3;2023.02.23
661202;1973.13;2023.07.02
540605;33.75;2023.02.28
230892;303.24;2023.08.17
938450;194.93;2023.03.31
718937;1238.96;2023.03.04
130089;164.51;2023.01.17
799524;26.22;2023.03.06
212828;1050.43;2023.03.13
706018;1831.8;2023.09.12
965548;368.47;2023.02.03
322429;83.08;2023.03.10
203173;846.87;2023.06.01
79837;1921.82;2023.08.02
332928;130.08;2023.10.13
729759;55.2;2023.06.19
288117;16.95;2023.07.17
814110;287.62;2023.01.03
961730;64.67;2023.05.28
125710;371.31;2023.06.05
396337;1101.35;2023.02.12
872524;77.27;2023.02.22
230526;1123.9;2023.08.22
702556;181.0;2023.09.24
536512;140.32;2023.03.09
122478;305.57;2023.05.07
748258;1723.93;2023.03.22
233411;76.79;2023.09.23
328176;831.38;2023.07.01
968238;70.76;2023.10.09
203329;68.62;2023.04.20
652207;167.88;2023.02.18
896517;265.01;2023.02.01
271343;2139.44;2023.01.18
338502;286.93;2023.02.18
107965;2771.93;2023.05.07
949039;151.07;2023.06.18
228845;256.79;2023.01.15
957317;366.7;2023.05.11
535560;51.0;2023.10.06
688127;139.79;2023.08.03
733099;49.33;2023.02.13
486425;270.25;2023.04.09
959890;984.0;2023.09.28
662027;267.62;2023.06.14
989025;44.05;2023.03.25
975373;49.36;2023.03.22
595156;68.85;2023.05.07
558923;13.18;2023.03.25
93525;115.84;2023.03.30
724748;29.55;2023.04.06
581729;25.75;2023.08.24
534871;869.3;2023.04.18
785029;2460.94;2023.07.31
491832;815.97;2023.03.16
925662;1692.24;2023.04.11
674958;617.37;2023.01.15
611753;38.73;2023.03.04
840656;135.63;2023.10.06
120909;86.61;2023.07.04
650064;47.11;2023.08.21
146061;139.24;2023.06.22
308197;448.27;2023.06.04
240733;71.36;2023.02.24
342563;269.25;2023.02.09
819006;68.37;2023.01.10
591095;78.55;2023.01.03
766701;28.84;2023.09.14
192785;187.26;2023.06.18
753513;460.76;2023.08.18
720828;116.73;2023.08.30
732881;97.41;2023.08.10
645496;138.07;2023.03.24
282197;180.22;2023.05.08
144299;76.24;2023.07.05
621849;2837.02;2023.05.29
156144;374.8;2023.04.07
363686;227.72;2023.01.15
271541;29.9;2023.02.18
419076;2601.27;2023.06.04
548320;32.77;2023.06.07
405553;440.49;2023.01.24
657568;51.83;2023.09.14
422753;424.64;2023.01.13
47187;43.67;2023.04.12
821685;265.17;2023.09.30
323651;300.67;2023.07.11
650118;355.34;2023.05.11
174818;819.4;2023.07.03
696702;115.46;2023.08.01
25985;231.14;2023.02.24
704882;2211.16;2023.08.07
227632;1803.32;2023.04.01
653291;172.11;2023.07.27
287502;168.83;2023.09.30
815839;1603.15;2023.07.04
4800;189.24;2023.06.30
882336;286.91;2023.08.05
844980;449.39;2023.04.29
110801;33.9;2023.07.27
241269;178.82;2023.08.07
17397;567.89;2023.01.12
951956;296.96;2023.08.24
270874;350.77;2023.07.08
49268;30.95;2023.10.14
649121;76.02;2023.04.29
36335;125.2;2023.06.05
792943;616.9;2023.04.11
762629;2485.81;2023.09.26
740244;95.52;2023.08.13
491345;127.61;2023.01.06
728381;127.21;2023.02.11
963534;999.18;2023.03.24
614467;63.43;2023.04.06
259391;77.12;2023.10.14
692447;69.35;2023.07.24
943640;122.99;2023.02.18
777642;54.83;2023.07.27
359077;208.91;2023.10.13
1246;1428.1;2023.08.13
237379;67.07;2023.03.25
889034;139.66;2023.07.10
785338;182.62;2023.08.19
737693;245.58;2023.03.06
143961;88.8;2023.10.11
172963;52.71;2023.09.13
131089;2853.13;2023.07.14
414567;460.64;2023.02.07
996996;780.24;2023.07.02
128870;1742.97;2023.07.16
177230;484.39;2023.07.24
65624;482.62;2023.06.28
442426;121.67;2023.04.11
794252;286.31;2023.09.05
257512;29.34;2023.01.10
733870;80.12;2023.07.08
871438;94.8;2023.08.02
63009;262.82;2023.02.21
10718;43.97;2023.04.09
674213;59.82;2023.06.09
656332;385.48;2023.09.10
468214;157.02;2023.05.11
487652;2423.47;2023.01.01
218105;350.44;2023.07.08
665301;870.51;2023.05.28
291549;236.57;2023.08.28
988209;159.71;2023.10.07
903224;89.25;2023.03.13
142348;88.17;2023.04.03
349817;210.07;2023.03.22
208959;2759.12;2023.07.22
624390;11.93;2023.04.19
72826;489.19;2023.08.09
186422;259.37;2023.09.08
771774;1206.62;2023.02.04
665569;1936.77;2023.08.26
556881;230.12;2023.05.20
100274;157.78;2023.05.30
449166;204.2;2023.02.18
546719;511.23;2023.02.27
333390;106.26;2023.06.15
307939;44.16;2023.08.17
476692;199.77;2023.04.29
466177;69.51;2023.01.08
503409;870.03;2023.01.01
551432;14.64;2023.03.08
267069;1105.7;2023.05.07
562181;1605.63;2023.02.21
294773;125.43;2023.05.26
118334;206.24;2023.02.15
651801;132.11;2023.08.12
416195;275.73;2023.09.10
472634;176.23;2023.07.11
282158;994.91;2023.08.04
938387;87.98;2023.06.29
855682;91.44;2023.03.24
79669;290.41;2023.07.14
23141;169.44;2023.09.24
486212;134.91;2023.07.26
938924;34.32;2023.02.28
453101;440.58;2023.08.21
697387;122.91;2023.08.06
187997;449.31;2023.03.06
677487;208.01;2023.02.02
765181;189.57;2023.08.20
164252;241.27;2023.08.28
254934;1481.95;2023.08.24
941351;139.88;2023.05.18
12492;552.78;2023.08.07
122346;917.81;2023.09.10
889586;749.89;2023.08.04
695328;88.71;2023.02.17
434100;51.29;2023.02.09
172533;30.32;2023.09.07
963351;770.45;2023.09.14
123853;48.78;2023.02.07
910502;110.59;2023.06.25
453534;682.72;2023.01.06
277430;138.29;2023.09.15
659489;656.91;2023.04.28
129987;1946.7;2023.01.03
988837;157.76;2023.04.02
917598;41.27;2023.10.03
519663;518.72;2023.02.11
953586;138.41;2023.09.04
6659;2845.25;2023.06.25
363791;239.64;2023.05.10
982668;2101.18;2023.05.04
376920;27.55;2023.09.20
201914;267.74;2023.01.05
409675;958.04;2023.05.08
850534;133.02;2023.02.20
518891;1041.81;2023.02.27
593606;165.47;2023.08.21
925432;2721.74;2023.06.17
38605;1119.85;2023.04.27
196413;372.51;2023.08.01
237517;258.93;2023.05.09
803509;164.07;2023.01.20
442856;299.81;2023.06.27
812315;27.17;2023.08.22
489161;870.94;2023.08.17
323840;594.39;2023.08.21
39130;229.2;2023.05.18
429777;186.92;2023.02.03
229741;195.31;2023.08.02
608984;670.51;2023.03.20
879970;276.3;2023.09.23
929123;295.47;2023.06.25
338443;410.84;2023.07.25
456168;231.42;2023.04.23
949739;168.55;2023.06.17
243600;1230.56;2023.04.16
269005;97.25;2023.02.11
389219;120.69;2023.07.28
358176;2191.34;2023.02.13
959078;213.63;2023.09.07
307644;44.76;2023.07.27
604718;523.4;2023.09.17
554257;199.08;2023.01.31
372134;407.95;2023.03.15
72028;412.52;2023.03.09
130249;1555.32;2023.02.17
290906;935.17;2023.07.21
476947;1271.08;2023.09.04
709229;182.32;2023.03.17
586826;88.47;2023.08.06
427345;122.3;2023.07.29
82718;702.99;2023.08.09
474388;30.67;2023.05.09
762861;57.45;2023.03.23
611377;689.52;2023.04.30
896912;115.82;2023.10.08
222228;1150.82;2023.06.28
165015;164.71;2023.03.05
622638;34.79;2023.09.29
568868;1704.51;2023.05.23
808679;189.93;2023.06.26
416530;84.79;2023.01.13
271235;67.38;2023.03.13
144950;192.44;2023.04.09
762715;107.74;2023.06.05
177511;148.0;2023.05.14
561534;167.72;2023.07.14
830480;497.18;2023.08.28
670454;35.03;2023.07.14
359992;15.69;2023.08.18
305364;67.91;2023.08.24
219895;101.23;2023.04.13
371949;245.06;2023.07.04
18399;270.53;2023.08.28
613765;159.72;2023.09.05
191686;218.72;2023.09.24
930183;2256.49;2023.03.09
469988;257.53;2023.07.01
163571;26.39;2023.08.12
9955;24.05;2023.09.06
469629;434.45;2023.08.16
29818;65.9;2023.06.01
355439;865.68;2023.07.04
146027;166.87;2023.04.03
97296;109.9;2023.03.17
382765;668.66;2023.09.27
322926;699.75;2023.08.31
473250;226.69;2023.02.01
197148;93.51;2023.02.15
911373;38.2;2023.09.09
446417;33.76;2023.01.20
150026;87.2;2023.01.06
111960;398.5;2023.09.19
441444;114.15;2023.01.13
679158;39.45;2023.04.25
810781;2105.49;2023.09.03
218750;73.32;2023.01.20
220455;44.55;2023.05.24
593775;87.14;2023.01.28
754978;446.74;2023.05.17
145217;180.63;2023.04.08
225931;166.95;2023.03.13
735194;397.96;2023.07.14
402896;116.74;2023.03.06
530817;117.56;2023.10.11
11087;170.52;2023.06.15
578867;468.27;2023.01.19
824726;148.96;2023.01.12
291192;30.89;2023.09.08
551271;47.65;2023.02.12
686517;265.67;2023.07.07
942962;975.41;2023.04.18
400906;532.25;2023.03.21
